10000,0.010495000000000254
20000,0.01
30000,0.01
40000,0.01
50000,0.01
60000,0.01
70000,0.01
80000,0.01
90000,0.01
100000,0.01
110000,0.01
120000,0.01
130000,0.01
140000,0.01
150000,0.01
160000,0.01
170000,0.01
180000,0.01
190000,0.01
200000,0.01
210000,0.01
220000,0.01
230000,0.01
240000,0.01
250000,0.01
260000,0.01
270000,0.01
280000,0.01
290000,0.01
300000,0.01
310000,0.01
320000,0.01
330000,0.01
340000,0.01
350000,0.01
360000,0.01
370000,0.01
380000,0.01
390000,0.01
400000,0.01
410000,0.01
420000,0.01
430000,0.01
440000,0.01
450000,0.01
460000,0.01
470000,0.01
480000,0.01
490000,0.01
500000,0.01
510000,0.01
520000,0.01
530000,0.01
540000,0.01
550000,0.01
560000,0.01
570000,0.01
580000,0.01
590000,0.01
600000,0.01
610000,0.01
620000,0.01
630000,0.01
640000,0.01
650000,0.01
660000,0.01
670000,0.01
680000,0.01
690000,0.01
700000,0.01
710000,0.01
720000,0.01
730000,0.01
740000,0.01
750000,0.01
760000,0.01
770000,0.01
780000,0.01
790000,0.01
800000,0.01
810000,0.01
820000,0.01
830000,0.01
840000,0.01
850000,0.01
860000,0.01
870000,0.01
880000,0.01
890000,0.01
900000,0.01
910000,0.01
920000,0.01
930000,0.01
940000,0.01
950000,0.01
960000,0.01
970000,0.01
980000,0.01
990000,0.01
1000000,0.01
