timestamp,label,well,id,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,T-JUS-CKGL,QGL,class
2014-01-24 09:33:03,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397031.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:04,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397031.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:05,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397032.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:06,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397033.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:07,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397033.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:08,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397034.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:09,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397034.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:10,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397035.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:11,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397035.0,74.80031,-300917.8,,0.0,0.0
2014-01-24 09:33:12,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397036.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:13,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397037.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:14,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397038.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:15,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397038.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:16,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397038.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:17,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397039.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:18,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397040.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:19,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397040.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:20,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397041.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:21,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397041.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:22,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397042.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:23,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397042.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:24,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397043.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:25,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397044.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:26,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397044.0,74.8003,-300917.8,,0.0,0.0
2014-01-24 09:33:27,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397045.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:28,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397045.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:29,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397046.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:30,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397047.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:31,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397047.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:32,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397047.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:33,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397048.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:34,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397049.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:35,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397050.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:36,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397050.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:37,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397050.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:38,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397051.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:39,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397052.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:40,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397052.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:41,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397053.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:42,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397054.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:43,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397054.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:44,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397054.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:45,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397055.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:46,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397056.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:47,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397057.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:48,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397057.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:49,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397057.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:50,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397058.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:51,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397059.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:52,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397060.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:53,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397060.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:54,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397060.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:55,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397061.0,74.80029,-300917.8,,0.0,0.0
2014-01-24 09:33:56,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397062.0,74.80028,-300917.8,,0.0,0.0
2014-01-24 09:33:57,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397062.0,74.80028,-300917.8,,0.0,0.0
2014-01-24 09:33:58,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397063.0,74.80028,-300917.8,,0.0,0.0
2014-01-24 09:33:59,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397063.0,74.80028,-300917.8,,0.0,0.0
2014-01-24 09:34:00,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397064.0,74.80028,-300917.8,,0.0,0.0
2014-01-24 09:34:01,1,WELL-00001,20140124093303,0.0,18433410.0,116.8718,9397064.0,74.80028,-300917.8,,0.0,0.0
